MSG:1005,0,1,"MakeMKV v1.18.2 win(x64-release) started","%1 started","MakeMKV v1.18.2 win(x64-release)"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:5076,0,2,"Hash check failed for file 00003.m2ts at offset 10807296, file is corrupt.","Hash check failed for file %1 at offset %2, file is corrupt.","00003.m2ts","10807296"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10874880, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10874880"
MSG:5076,0,2,"Hash check failed for file 00003.m2ts at offset 11003904, file is corrupt.","Hash check failed for file %1 at offset %2, file is corrupt.","00003.m2ts","11003904"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12054528-12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12054528-12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12060672-12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12060672-12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12066816, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12066816"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12085248-12091392, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12085248-12091392"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12091392, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12091392"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12091392, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12091392"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12091392, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12091392"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 12091392, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","12091392"
MSG:4009,0,2,"Too many AV synchronization issues in file '/BDMV/STREAM/00003.m2ts' (title #-) , future messages will be printed only to log file","Too many AV synchronization issues in file '%1' (title #%2) , future messages will be printed only to log file","/BDMV/STREAM/00003.m2ts","-"
MSG:5076,0,2,"Hash check failed for file 00003.m2ts at offset 12183552, file is corrupt.","Hash check failed for file %1 at offset %2, file is corrupt.","00003.m2ts","12183552"
MSG:5076,0,2,"Hash check failed for file 00003.m2ts at offset 12380160, file is corrupt.","Hash check failed for file %1 at offset %2, file is corrupt.","00003.m2ts","12380160"
MSG:5076,16777216,2,"Hash check failed for file 00003.m2ts at offset 12576768, file is corrupt.","Hash check failed for file %1 at offset %2, file is corrupt.","00003.m2ts","12576768"
MSG:5077,0,1,"Too many hash check errors in file 00003.m2ts.","Too many hash check errors in file %1.","00003.m2ts"
MSG:3307,0,2,"File 00003.mpls was added as title #0","File %1 was added as title #%2","00003.mpls","0"
MSG:3307,0,2,"File 00006.mpls was added as title #1","File %1 was added as title #%2","00006.mpls","1"
MSG:3307,0,2,"File 00007.mpls was added as title #2","File %1 was added as title #%2","00007.mpls","2"
MSG:3307,0,2,"File 00008.mpls was added as title #3","File %1 was added as title #%2","00008.mpls","3"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,0,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00025.m2ts' is corrupt or invalid at offset 0, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00025.m2ts","0"
