TCOUNT:6
CINFO:1,6206,"DVD disc"
CINFO:2,0,"THESECRETLIFEOFWALTERMITTY"
CINFO:30,0,"THESECRETLIFEOFWALTERMITTY"
CINFO:31,6119,"<b>Source information</b><br>"
CINFO:32,0,"THESECRETLIFEOFWALTERMITTY"
CINFO:33,0,"0"
TINFO:0,8,0,"37"
TINFO:0,9,0,"1:54:08"
TINFO:0,10,0,"5.4 GB"
TINFO:0,11,0,"5805778944"
TINFO:0,24,0,"01"
TINFO:0,25,0,"3"
TINFO:0,26,0,"1-25,26-38,39"
TINFO:0,27,0,"C1_t00.mkv"
TINFO:0,30,0,"37 chapter(s) , 5.4 GB (C1)"
TINFO:0,31,6120,"<b>Title information</b><br>"
TINFO:0,33,0,"0"
TINFO:0,49,0,"C1"
SINFO:0,3,13,0,"192 Kb/s"
SINFO:0,3,14,0,"2"
SINFO:0,3,17,0,"48000"
SINFO:0,3,22,0,"0"
SINFO:0,3,30,0,"DD Stereo Spanish"
SINFO:0,3,31,6121,"<b>Track information</b><br>"
SINFO:0,3,33,0,"100"
SINFO:0,3,38,0,""
SINFO:0,3,40,0,"stereo"
SINFO:0,3,42,5088,"( Lossless conversion )"
SINFO:0,4,1,6202,"Audio"
SINFO:0,4,2,5091,"Stereo"
SINFO:0,4,3,0,"fre"
SINFO:0,4,4,0,"French"
SINFO:0,4,5,0,"A_AC3"
SINFO:0,4,6,0,"DD"
SINFO:0,4,7,0,"Dolby Digital"
SINFO:0,4,13,0,"192 Kb/s"
SINFO:0,4,14,0,"2"
SINFO:0,4,17,0,"48000"
SINFO:0,4,22,0,"0"
SINFO:0,4,30,0,"DD Stereo French"
SINFO:0,4,31,6121,"<b>Track information</b><br>"
SINFO:0,4,33,0,"100"
SINFO:0,4,38,0,""
SINFO:0,4,40,0,"stereo"
SINFO:0,4,42,5088,"( Lossless conversion )"
SINFO:0,5,1,6203,"Subtitles"
SINFO:0,5,3,0,"eng"
SINFO:0,5,4,0,"English"
SINFO:0,5,5,0,"S_VOBSUB"
SINFO:0,5,6,0,""
SINFO:0,5,7,0,"Dvd Subtitles"
SINFO:0,5,22,0,"0"
SINFO:0,5,30,0," English"
SINFO:0,5,31,6121,"<b>Track information</b><br>"
SINFO:0,5,33,0,"90"
SINFO:0,5,38,0,"d"
SINFO:0,5,39,0,"Default"
SINFO:0,5,42,5088,"( Lossless conversion )"
SINFO:0,6,1,6203,"Subtitles"
SINFO:0,6,3,0,"spa"
SINFO:0,6,4,0,"Spanish"
SINFO:0,6,5,0,"S_VOBSUB"
SINFO:0,6,6,0,""
SINFO:0,6,7,0,"Dvd Subtitles"
SINFO:0,6,22,0,"0"
SINFO:0,6,30,0," Spanish"
SINFO:0,6,31,6121,"<b>Track information</b><br>"
SINFO:0,6,33,0,"100"
SINFO:0,6,38,0,""
SINFO:0,6,42,5088,"( Lossless conversion )"
SINFO:0,7,1,6203,"Subtitles"
SINFO:0,7,3,0,"eng"
SINFO:0,7,4,0,"English"
SINFO:0,7,5,0,"S_VOBSUB"
SINFO:0,7,6,0,""
SINFO:0,7,7,0,"Dvd Subtitles"
SINFO:0,7,22,0,"0"
SINFO:0,7,30,0," English"
SINFO:0,7,31,6121,"<b>Track information</b><br>"
SINFO:0,7,33,0,"90"
SINFO:0,7,38,0,""
SINFO:0,7,42,5088,"( Lossless conversion )"
SINFO:0,8,1,6203,"Subtitles"
SINFO:0,8,3,0,"spa"
SINFO:0,8,4,0,"Spanish"
SINFO:0,8,5,0,"S_VOBSUB"
SINFO:0,8,6,0,""
SINFO:0,8,7,0,"Dvd Subtitles"
SINFO:0,8,22,0,"0"
SINFO:0,8,30,0," Spanish"
SINFO:0,8,31,6121,"<b>Track information</b><br>"
SINFO:0,8,33,0,"100"
SINFO:0,8,38,0,""
SINFO:0,8,42,5088,"( Lossless conversion )"
SINFO:0,9,1,6203,"Subtitles"
SINFO:0,9,3,0,"fre"
SINFO:0,9,4,0,"French"
SINFO:0,9,5,0,"S_VOBSUB"
SINFO:0,9,6,0,""
SINFO:0,9,7,0,"Dvd Subtitles"
SINFO:0,9,22,0,"0"
SINFO:0,9,30,0," French"
SINFO:0,9,31,6121,"<b>Track information</b><br>"
SINFO:0,9,33,0,"100"
SINFO:0,9,38,0,""
SINFO:0,9,42,5088,"( Lossless conversion )"
SINFO:0,10,1,6203,"Subtitles"
SINFO:0,10,3,0,"eng"
SINFO:0,10,4,0,"English"
SINFO:0,10,5,0,"S_CC608/DVD"
SINFO:0,10,6,0,"CC"
SINFO:0,10,7,0,"Closed Captions"
SINFO:0,10,13,0,"9.8 Mb/s"
SINFO:0,10,22,0,"0"
SINFO:0,10,30,0,"CC→Text English ( Lossy conversion )"
SINFO:0,10,31,6121,"<b>Track information</b><br>"
SINFO:0,10,33,0,"90"
SINFO:0,10,34,0,"Text subtitles ( Lossy conversion )"
SINFO:0,10,38,0,""
SINFO:0,10,41,0,"Text"
SINFO:0,10,42,5087,"( Lossy conversion )"
TINFO:1,8,0,"2"
TINFO:1,9,0,"0:00:10"
TINFO:1,10,0,"7.6 MB"
TINFO:1,11,0,"8071168"
TINFO:1,24,0,"02"
TINFO:1,25,0,"2"
TINFO:1,26,0,"1,2"
TINFO:1,27,0,"A1_t01.mkv"
TINFO:1,30,0,"2 chapter(s) , 7.6 MB (A1)"
TINFO:1,31,6120,"<b>Title information</b><br>"
TINFO:1,33,0,"0"
TINFO:1,49,0,"A1"
SINFO:1,0,1,6201,"Video"
SINFO:1,0,5,0,"V_MPEG2"
SINFO:1,0,6,0,"Mpeg2"
SINFO:1,0,7,0,"Mpeg2"
SINFO:1,0,13,0,"9.8 Mb/s"
SINFO:1,0,19,0,"720x480"
SINFO:1,0,20,0,"16:9"
SINFO:1,0,21,0,"29.97 (30000/1001)"
SINFO:1,0,22,0,"0"
SINFO:1,0,30,0,"Mpeg2"
SINFO:1,0,31,6121,"<b>Track information</b><br>"
SINFO:1,0,33,0,"0"
SINFO:1,0,38,0,""
SINFO:1,0,42,5088,"( Lossless conversion )"
SINFO:1,1,1,6202,"Audio"
SINFO:1,1,2,0,"Surround 5.1"
SINFO:1,1,5,0,"A_AC3"
SINFO:1,1,6,0,"DD"
SINFO:1,1,7,0,"Dolby Digital"
SINFO:1,1,13,0,"448 Kb/s"
SINFO:1,1,14,0,"6"
SINFO:1,1,17,0,"48000"
SINFO:1,1,22,0,"0"
SINFO:1,1,30,0,"DD Surround 5.1"
SINFO:1,1,31,6121,"<b>Track information</b><br>"
SINFO:1,1,33,0,"100"
SINFO:1,1,38,0,"d"
SINFO:1,1,39,0,"Default"
SINFO:1,1,40,0,"5.1(side)"
SINFO:1,1,42,5088,"( Lossless conversion )"
TINFO:2,8,0,"14"
TINFO:2,9,0,"0:01:04"
TINFO:2,10,0,"2.7 MB"
TINFO:2,11,0,"2861056"
TINFO:2,24,0,"14"
TINFO:2,25,0,"14"
TINFO:2,26,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
TINFO:2,27,0,"B1_t02.mkv"
TINFO:2,30,0,"14 chapter(s) , 2.7 MB (B1)"
TINFO:2,31,6120,"<b>Title information</b><br>"
TINFO:2,33,0,"0"
TINFO:2,49,0,"B1"
SINFO:2,0,1,6201,"Video"
SINFO:2,0,5,0,"V_MPEG2"
SINFO:2,0,6,0,"Mpeg2"
SINFO:2,0,7,0,"Mpeg2"
SINFO:2,0,13,0,"8 Mb/s"
SINFO:2,0,19,0,"720x480"
SINFO:2,0,20,0,"4:3"
SINFO:2,0,21,0,"29.97 (30000/1001)"
SINFO:2,0,22,0,"0"
SINFO:2,0,30,0,"Mpeg2"
SINFO:2,0,31,6121,"<b>Track information</b><br>"
SINFO:2,0,33,0,"0"
SINFO:2,0,38,0,""
SINFO:2,0,42,5088,"( Lossless conversion )"
SINFO:2,1,1,6202,"Audio"
SINFO:2,1,2,5091,"Stereo"
SINFO:2,1,5,0,"A_AC3"
SINFO:2,1,6,0,"DD"
SINFO:2,1,7,0,"Dolby Digital"
SINFO:2,1,13,0,"192 Kb/s"
SINFO:2,1,14,0,"2"
SINFO:2,1,17,0,"48000"
SINFO:2,1,22,0,"0"
SINFO:2,1,30,0,"DD Stereo"
SINFO:2,1,31,6121,"<b>Track information</b><br>"
SINFO:2,1,33,0,"100"
SINFO:2,1,38,0,"d"
SINFO:2,1,39,0,"Default"
SINFO:2,1,40,0,"stereo"
SINFO:2,1,42,5088,"( Lossless conversion )"
SINFO:2,2,1,6203,"Subtitles"
SINFO:2,2,5,0,"S_VOBSUB"
SINFO:2,2,6,0,""
SINFO:2,2,7,0,"Dvd Subtitles"
SINFO:2,2,22,0,"0"
SINFO:2,2,30,0,""
SINFO:2,2,31,6121,"<b>Track information</b><br>"
SINFO:2,2,33,0,"100"
SINFO:2,2,38,0,"d"
SINFO:2,2,39,0,"Default"
SINFO:2,2,42,5088,"( Lossless conversion )"
TINFO:3,8,0,"2"
TINFO:3,9,0,"0:05:01"
TINFO:3,10,0,"190.1 MB"
TINFO:3,11,0,"199401472"
TINFO:3,24,0,"17"
TINFO:3,25,0,"2"
TINFO:3,26,0,"1,2"
TINFO:3,27,0,"D1_t03.mkv"
TINFO:3,30,0,"2 chapter(s) , 190.1 MB (D1)"
TINFO:3,31,6120,"<b>Title information</b><br>"
TINFO:3,33,0,"0"
TINFO:3,49,0,"D1"
SINFO:3,0,1,6201,"Video"
SINFO:3,0,5,0,"V_MPEG2"
SINFO:3,0,6,0,"Mpeg2"
SINFO:3,0,7,0,"Mpeg2"
SINFO:3,0,13,0,"9.8 Mb/s"
SINFO:3,0,19,0,"720x480"
SINFO:3,0,20,0,"16:9"
SINFO:3,0,21,0,"29.97 (30000/1001)"
SINFO:3,0,22,0,"0"
SINFO:3,0,30,0,"Mpeg2"
SINFO:3,0,31,6121,"<b>Track information</b><br>"
SINFO:3,0,33,0,"0"
SINFO:3,0,38,0,""
SINFO:3,0,42,5088,"( Lossless conversion )"
SINFO:3,1,1,6202,"Audio"
SINFO:3,1,2,5091,"Stereo"
SINFO:3,1,3,0,"eng"
SINFO:3,1,4,0,"English"
SINFO:3,1,5,0,"A_AC3"
SINFO:3,1,6,0,"DD"
SINFO:3,1,7,0,"Dolby Digital"
SINFO:3,1,13,0,"192 Kb/s"
SINFO:3,1,14,0,"2"
SINFO:3,1,17,0,"48000"
SINFO:3,1,22,0,"0"
SINFO:3,1,30,0,"DD Stereo English"
SINFO:3,1,31,6121,"<b>Track information</b><br>"
SINFO:3,1,33,0,"90"
SINFO:3,1,38,0,"d"
SINFO:3,1,39,0,"Default"
SINFO:3,1,40,0,"stereo"
SINFO:3,1,42,5088,"( Lossless conversion )"
TINFO:4,8,0,"2"
TINFO:4,9,0,"0:04:02"
TINFO:4,10,0,"152.5 MB"
TINFO:4,11,0,"160010240"
TINFO:4,24,0,"18"
TINFO:4,25,0,"2"
TINFO:4,26,0,"1,2"
TINFO:4,27,0,"D2_t04.mkv"
TINFO:4,30,0,"2 chapter(s) , 152.5 MB (D2)"
TINFO:4,31,6120,"<b>Title information</b><br>"
TINFO:4,33,0,"0"
TINFO:4,49,0,"D2"
SINFO:4,0,1,6201,"Video"
SINFO:4,0,5,0,"V_MPEG2"
SINFO:4,0,6,0,"Mpeg2"
SINFO:4,0,7,0,"Mpeg2"
SINFO:4,0,13,0,"9.8 Mb/s"
SINFO:4,0,19,0,"720x480"
SINFO:4,0,20,0,"16:9"
SINFO:4,0,21,0,"29.97 (30000/1001)"
SINFO:4,0,22,0,"0"
SINFO:4,0,30,0,"Mpeg2"
SINFO:4,0,31,6121,"<b>Track information</b><br>"
SINFO:4,0,33,0,"0"
SINFO:4,0,38,0,""
SINFO:4,0,42,5088,"( Lossless conversion )"
SINFO:4,1,1,6202,"Audio"
SINFO:4,1,2,5091,"Stereo"
SINFO:4,1,3,0,"eng"
SINFO:4,1,4,0,"English"
SINFO:4,1,5,0,"A_AC3"
SINFO:4,1,6,0,"DD"
SINFO:4,1,7,0,"Dolby Digital"
SINFO:4,1,13,0,"192 Kb/s"
SINFO:4,1,14,0,"2"
SINFO:4,1,17,0,"48000"
SINFO:4,1,22,0,"0"
SINFO:4,1,30,0,"DD Stereo English"
SINFO:4,1,31,6121,"<b>Track information</b><br>"
SINFO:4,1,33,0,"90"
SINFO:4,1,38,0,"d"
SINFO:4,1,39,0,"Default"
SINFO:4,1,40,0,"stereo"
SINFO:4,1,42,5088,"( Lossless conversion )"
TINFO:5,8,0,"2"
TINFO:5,9,0,"0:02:24"
TINFO:5,10,0,"90.5 MB"
TINFO:5,11,0,"94910464"
TINFO:5,24,0,"19"
TINFO:5,25,0,"2"
TINFO:5,26,0,"1,2"
TINFO:5,27,0,"D3_t05.mkv"
TINFO:5,30,0,"2 chapter(s) , 90.5 MB (D3)"
TINFO:5,31,6120,"<b>Title information</b><br>"
TINFO:5,33,0,"0"
TINFO:5,49,0,"D3"
SINFO:5,0,1,6201,"Video"
SINFO:5,0,5,0,"V_MPEG2"
SINFO:5,0,6,0,"Mpeg2"
SINFO:5,0,7,0,"Mpeg2"
SINFO:5,0,13,0,"9.8 Mb/s"
SINFO:5,0,19,0,"720x480"
SINFO:5,0,20,0,"16:9"
SINFO:5,0,21,0,"29.97 (30000/1001)"
SINFO:5,0,22,0,"0"
SINFO:5,0,30,0,"Mpeg2"
SINFO:5,0,31,6121,"<b>Track information</b><br>"
SINFO:5,0,33,0,"0"
SINFO:5,0,38,0,""
SINFO:5,0,42,5088,"( Lossless conversion )"
SINFO:5,1,1,6202,"Audio"
SINFO:5,1,2,5091,"Stereo"
SINFO:5,1,3,0,"eng"
SINFO:5,1,4,0,"English"
SINFO:5,1,5,0,"A_AC3"
SINFO:5,1,6,0,"DD"
SINFO:5,1,7,0,"Dolby Digital"
SINFO:5,1,13,0,"192 Kb/s"
SINFO:5,1,14,0,"2"
SINFO:5,1,17,0,"48000"
SINFO:5,1,22,0,"0"
SINFO:5,1,30,0,"DD Stereo English"
SINFO:5,1,31,6121,"<b>Track information</b><br>"
SINFO:5,1,33,0,"90"
SINFO:5,1,38,0,"d"
SINFO:5,1,39,0,"Default"
SINFO:5,1,40,0,"stereo"
SINFO:5,1,42,5088,"( Lossless conversion )"
HSH:0,VIDEO_TS.BUP,2/11/2014 7:02:30 PM,26624
HSH:1,VIDEO_TS.IFO,2/11/2014 7:02:30 PM,26624
HSH:2,VIDEO_TS.VOB,2/11/2014 7:02:30 PM,217088
HSH:3,VTS_01_0.BUP,2/11/2014 7:02:30 PM,90112
HSH:4,VTS_01_0.IFO,2/11/2014 7:02:30 PM,90112
HSH:5,VTS_01_0.VOB,2/11/2014 7:02:31 PM,102496256
HSH:6,VTS_01_1.VOB,2/11/2014 7:02:39 PM,1073451008
HSH:7,VTS_01_2.VOB,2/11/2014 7:02:48 PM,1073684480
HSH:8,VTS_01_3.VOB,2/11/2014 7:02:57 PM,1073532928
HSH:9,VTS_01_4.VOB,2/11/2014 7:03:06 PM,1073225728
HSH:10,VTS_01_5.VOB,2/11/2014 7:03:16 PM,1073723392
HSH:11,VTS_01_6.VOB,2/11/2014 7:03:19 PM,438161408
HSH:12,VTS_02_0.BUP,2/11/2014 7:03:19 PM,18432
HSH:13,VTS_02_0.IFO,2/11/2014 7:03:19 PM,18432
HSH:14,VTS_02_0.VOB,2/11/2014 7:03:19 PM,40960
HSH:15,VTS_02_1.VOB,2/11/2014 7:03:19 PM,8071168
HSH:16,VTS_03_0.BUP,2/11/2014 7:03:19 PM,18432
HSH:17,VTS_03_0.IFO,2/11/2014 7:03:19 PM,18432
HSH:18,VTS_03_0.VOB,2/11/2014 7:03:19 PM,40960
HSH:19,VTS_03_1.VOB,2/11/2014 7:03:19 PM,1656832
HSH:20,VTS_04_0.BUP,2/11/2014 7:03:19 PM,18432
HSH:21,VTS_04_0.IFO,2/11/2014 7:03:19 PM,18432
HSH:22,VTS_04_0.VOB,2/11/2014 7:03:19 PM,40960
HSH:23,VTS_04_1.VOB,2/11/2014 7:03:19 PM,1013760
HSH:24,VTS_05_0.BUP,2/11/2014 7:03:20 PM,18432
HSH:25,VTS_05_0.IFO,2/11/2014 7:03:20 PM,18432
HSH:26,VTS_05_0.VOB,2/11/2014 7:03:20 PM,40960
HSH:27,VTS_05_1.VOB,2/11/2014 7:03:20 PM,29327360
HSH:28,VTS_06_0.BUP,2/11/2014 7:03:20 PM,18432
HSH:29,VTS_06_0.IFO,2/11/2014 7:03:20 PM,18432
HSH:30,VTS_06_0.VOB,2/11/2014 7:03:20 PM,40960
HSH:31,VTS_06_1.VOB,2/11/2014 7:03:20 PM,40960
HSH:32,VTS_07_0.BUP,2/11/2014 7:03:20 PM,20480
HSH:33,VTS_07_0.IFO,2/11/2014 7:03:20 PM,20480
HSH:34,VTS_07_0.VOB,2/11/2014 7:03:20 PM,40960
HSH:35,VTS_07_1.VOB,2/11/2014 7:03:20 PM,34816
HSH:36,VTS_08_0.BUP,2/11/2014 7:03:20 PM,16384
HSH:37,VTS_08_0.IFO,2/11/2014 7:03:20 PM,16384
HSH:38,VTS_08_0.VOB,2/11/2014 7:03:20 PM,40960
HSH:39,VTS_08_1.VOB,2/11/2014 7:03:20 PM,4014080
HSH:40,VTS_09_0.BUP,2/11/2014 7:03:20 PM,16384
HSH:41,VTS_09_0.IFO,2/11/2014 7:03:20 PM,16384
HSH:42,VTS_09_0.VOB,2/11/2014 7:03:20 PM,40960
HSH:43,VTS_09_1.VOB,2/11/2014 7:03:20 PM,34816
HSH:44,VTS_10_0.BUP,2/11/2014 7:03:20 PM,24576
HSH:45,VTS_10_0.IFO,2/11/2014 7:03:20 PM,24576
HSH:46,VTS_10_0.VOB,2/11/2014 7:03:20 PM,40960
HSH:47,VTS_10_1.VOB,2/11/2014 7:03:24 PM,454240256
